"Cary PRN", "DMR", "12.5", "448.787500", "443.787500", "Cary", "NORMAL", "Color Code Free", "Low", "Low", "180", "0", "HIGH", "No", "No", "No", "No", "Yes", "D151I", "005.0", "180", "Off", "Off", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NONE", "PRN", "NONE", "1", "NONE", "2", "2"
"Chapel Hill Ana", "FM", "12.5", "400.000000", "442.150000", "Hillsborough", "NORMAL", "Always", "Medium", "Medium", "60", "0", "HIGH", "No", "No", "No", "No", "No", "131.8", "088.5", "120", "Off", "Off", "YES", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "Error", "NONE", "NONE", "8", "NONE", "1", "2"
"Charleston Local", "DMR", "12.5", "448.037500", "443.037500", "Charleston", "NORMAL", "Color Code Free", "Low", "Low", "180", "0", "HIGH", "No", "No", "No", "No", "Yes", "D141I", "005.0", "120", "Off", "Off", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NONE", "Local", "NONE", "1", "NONE", "2", "1"
"Charleston PRN", "DMR", "12.5", "448.037500", "443.037500", "Charleston", "NORMAL", "Color Code Free", "Low", "Low", "180", "0", "HIGH", "No", "No", "No", "No", "Yes", "D151I", "005.0", "180", "Off", "Off", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NONE", "PRN", "NONE", "1", "NONE", "2", "2"
"Charlotte Local", "DMR", "12.5", "447.412500", "442.412500", "Charlotte", "NORMAL", "Color Code Free", "Low", "Low", "180", "0", "HIGH", "No", "No", "No", "No", "Yes", "D141I", "005.0", "120", "Off", "Off", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NONE", "Local", "NONE", "1", "NONE", "2", "1"
"Charlotte PRN", "DMR", "12.5", "447.412500", "442.412500", "Charlotte", "NORMAL", "Color Code Free", "Low", "Low", "180", "0", "HIGH", "No", "No", "No", "No", "Yes", "D151I", "005.0", "180", "Off", "Off", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NONE", "PRN", "NONE", "1", "NONE", "2", "2"
"Chesapeake Local", "DMR", "12.5", "447.587500", "442.587500", "Chesapeake", "NORMAL", "Color Code Free", "Low", "Low", "180", "0", "HIGH", "No", "No", "No", "No", "Yes", "D141I", "005.0", "120", "Off", "Off", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NONE", "Local", "NONE", "1", "NONE", "2", "1"
"Chesapeake PRN", "DMR", "12.5", "447.587500", "442.587500", "Chesapeake", "NORMAL", "Color Code Free", "Low", "Low", "180", "0", "HIGH", "No", "No", "No", "No", "Yes", "D151I", "005.0", "180", "Off", "Off", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NONE", "PRN", "NONE", "1", "NONE", "2", "2"
"Cleve BM Reflect", "DMR", "12.5", "448.825000", "443.825000", "Cleveland", "NORMAL", "Color Code Free", "Medium", "Medium", "60", "0", "HIGH", "No", "No", "No", "No", "Yes", "000.1", "000.0", "180", "Off", "Off", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NONE", "BM Reflector", "NONE", "1", "NONE", "2", "1"
"Cleve Echotest", "DMR", "12.5", "448.825000", "443.825000", "-NULL-", "NORMAL", "Color Code Free", "Medium", "Medium", "60", "0", "HIGH", "No", "No", "No", "No", "No", "000.1", "000.0", "180", "Off", "Off", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NONE", "Echotest", "NONE", "1", "NONE", "2", "1"
